id,year,citation_cnt
168338164,2014,2349
231091986,2017,1005
3270351,2015,706
415035903,2015,618
339264865,2016,504
153430342,2015,444
157871942,2018,393
27151880,2016,366
36173052,2017,362
223513156,2017,341
6580924,2018,337
45809059,2015,309
404280433,2015,294
492091756,2016,275
389127866,2016,272
246620467,2017,268
317044410,2016,268
472179989,2016,217
352341728,2016,200
346653452,2017,190
192881674,2016,187
363306352,2016,182
483717255,2017,172
182423269,2017,165
457335966,2015,163
454147945,2017,160
67037095,2015,158
449774510,2016,158
438178330,2017,152
195311308,2016,152
193975027,2018,150
29202037,2018,146
421001205,2018,145
199307068,2016,139
205976933,2018,136
48083976,2016,125
63846880,2016,125
236618942,2017,125
85045492,2017,124
157630867,2016,124
229994779,2016,123
447639558,2016,123
489702114,2017,123
89213173,2018,118
43227756,2016,118
321456595,2018,117
296401972,2015,114
340362063,2016,113
320044928,2017,112
42256929,2016,111
97933028,2017,111
475929575,2016,109
323975832,2017,108
70606379,2018,105
401798532,2017,102
324603824,2016,100
453224308,2017,94
360951910,2017,93
242652973,2018,93
149269655,2018,92
69693395,2017,91
361695738,2017,90
405126629,2015,88
246854849,2018,87
338105514,2016,85
30048667,2017,85
327445829,2016,85
482086865,2017,85
241466049,2018,84
256319715,2017,79
143625051,2017,79
338160221,2017,79
118409942,2017,78
263699114,2016,78
200169676,2018,78
327855665,2017,78
459368538,2015,77
363025356,2018,76
405668894,2016,76
457206662,2019,75
179864107,2018,74
386740399,2016,74
481252338,2016,74
255703818,2016,73
199921716,2017,73
474273933,2016,72
149777766,2017,72
29156949,2015,71
223580216,2018,71
167045294,2016,70
400922213,2018,69
183500019,2016,68
153844740,2016,68
434270417,2018,68
117651783,2017,67
95774699,2018,67
496921281,2016,67
76599556,2017,66
185285750,2018,66
131880579,2018,65
422323229,2018,64
232921690,2017,64
481793992,2016,64
24824182,2018,63
373765583,2017,62
91307568,2017,62
265635190,2016,62
421337746,2017,61
21095762,2018,60
479219365,2016,60
405983477,2016,59
20836032,2017,59
408409711,2016,59
339133990,2015,58
436273372,2017,58
49863185,2016,58
350138206,2019,58
187591043,2018,57
411260582,2018,56
259972981,2016,56
79513769,2018,55
405330194,2015,55
393590221,2016,55
395760906,2015,54
388285831,2018,54
470799231,2017,54
385695465,2017,53
464945754,2015,53
217815120,2018,53
415131360,2016,52
45494552,2017,52
61150354,2015,50
10765667,2018,50
489090525,2018,50
3331080,2017,49
201730010,2017,49
300132690,2017,49
304399991,2016,49
101535032,2016,47
156087457,2016,47
279570326,2017,46
113400349,2016,46
294328793,2017,46
72400050,2016,45
187063140,2017,45
83769397,2017,45
52452386,2017,45
224864009,2015,45
96327613,2018,44
424915724,2016,44
27743922,2017,44
460112022,2017,43
139820329,2018,43
174414387,2017,43
356435525,2017,42
78705822,2017,42
356368351,2018,42
333142787,2018,42
405367851,2016,41
40547241,2017,41
349192465,2017,41
51773335,2017,40
157333147,2018,40
324894343,2016,39
227317114,2015,39
178596473,2016,38
257448916,2017,38
109180829,2018,38
475398637,2018,38
444001489,2018,38
57052126,2018,37
260046080,2016,37
453054329,2017,37
419553444,2017,37
312332927,2018,37
469296700,2018,37
150987941,2019,36
61730034,2018,36
18539166,2017,36
210327952,2019,36
403838118,2016,36
254591545,2016,35
492183860,2018,35
37012108,2017,35
277229965,2018,35
13442560,2018,35
17238119,2018,35
39960177,2016,34
7719369,2015,33
395729623,2018,33
425973849,2017,33
471970456,2018,33
484598026,2019,33
455285055,2018,33
58583779,2018,32
106690355,2015,32
337305348,2017,32
437413198,2016,31
117586564,2015,30
255776343,2019,30
46453208,2018,30
156053652,2019,30
2395303,2019,30
197085912,2017,30
402463389,2016,30
113759479,2018,30
170113657,2016,30
269644798,2018,30
280122301,2016,30
150603389,2017,30
353081262,2017,29
23415022,2017,28
422498743,2018,28
387291768,2017,28
3292069,2015,28
230058500,2017,28
80979911,2017,28
319497883,2016,27
392103695,2017,27
186964543,2017,27
90231416,2018,27
253728922,2018,27
92761289,2015,27
366363001,2018,26
431938336,2017,26
105186392,2016,26
211653100,2017,26
98792762,2017,26
233829893,2019,26
161692130,2018,26
71939837,2018,26
356866993,2016,26
307690,2016,26
251490787,2018,26
243939914,2017,26
497841330,2017,26
347633362,2018,25
219159644,2018,25
140449869,2018,25
25360595,2017,25
489287630,2018,25
418071197,2017,25
249500814,2018,25
443669749,2018,25
202944539,2017,25
59646075,2015,25
1939678,2017,25
376779326,2017,24
369458988,2018,24
79085000,2016,24
441343718,2017,24
485523660,2017,24
33566979,2018,24
339190210,2017,24
116484887,2017,23
136778756,2019,23
62260318,2019,23
155155943,2016,23
461526845,2017,23
276789414,2019,23
398065849,2017,23
175879079,2015,22
301909219,2018,22
392277355,2016,22
334796508,2018,22
33572009,2019,22
127654551,2017,22
175507342,2018,22
24274620,2017,21
230162254,2017,21
496111780,2015,21
126966297,2017,21
364110812,2016,21
235766638,2017,20
104118561,2017,20
436477798,2015,20
293591290,2017,20
395909873,2018,20
478376711,2018,20
152064467,2016,20
358825802,2016,20
35378453,2016,20
38357994,2016,20
35460994,2016,19
463500229,2018,19
357008326,2016,19
451523979,2018,19
18284479,2017,19
18368865,2018,19
272937228,2019,19
239621622,2018,19
84281851,2016,19
338469107,2016,19
417673387,2017,19
232137673,2017,18
221086557,2018,18
323261386,2015,18
101436771,2019,18
437916923,2018,18
63580639,2018,18
83458114,2017,18
117426332,2016,18
100413614,2016,18
334880981,2017,17
122367755,2017,17
289500117,2018,17
396284321,2017,17
451587103,2017,17
301244930,2017,17
495028805,2017,17
114962116,2018,17
4369092,2018,17
399731388,2016,17
489822773,2017,17
493240875,2015,17
313558049,2017,17
361395303,2018,17
310202119,2017,17
227124859,2017,17
290574052,2018,17
153522589,2016,17
193159958,2018,16
437680414,2018,16
